token_id,token_str,text_only_count,image_count
353,Ġ=,74361,0
202,ĉ,18000,0
656,",""",13155,0
861,"?""",7461,0
1159,Ġknown,4543,0
1245,Ġasked,4077,0
1337,Ġtold,3608,0
1365,ĠWhen,3500,0
1460,Ġknew,3100,0
1562,Ġdays,2835,0
1578,Ġbecame,2809,0
1611,Ġoften,2704,0
1632,Ġbegan,2664,0
1534,Ġrule,2597,0
1664,huh,2584,0
1665,""",",2550,0
1731,Ġstarted,2454,0
1395,ĠMiss,2401,0
1779,Ġseemed,2384,0
1811,Oh,2328,0
1674,Ġmind,2306,0
1848,Ġfederal,2260,0
1532,ĠJon,2094,0
1921,You,2088,0
1812,Ġpercent,2063,0
2001,Ġlived,1970,0
2008,Ġvoice,1958,0
2051,ĠCounty,1899,0
2064,Uh,1886,0
2039,ĠGAO,1879,0
2033,Ġmillion,1862,0
2089,Ġusually,1855,0
2095,Ġmiles,1847,0
2106,Ġbecome,1833,0
2103,ĠLSC,1827,0
2128,ĠFebruary,1817,0
1814,Ġunderstand,1815,0
1547,Ġweek,1796,0
2166,ĠBomba,1775,0
2183,Ġhistory,1764,0
2209,Ġcosts,1735,0
2291,Ġneeded,1642,0
2298,Ġexample,1638,0
2338,Ġagencies,1609,0
2347,Ġreceived,1605,0
1867,Ġdeal,1601,0
2357,Ġcouldn,1596,0
2358,Ġhowever,1594,0
2221,ĠCongress,1584,0
2372,Ġprovide,1584,0
2416,ĠTuppence,1543,0
2417,Ġagency,1541,0
2424,Ġconsidered,1535,0
2450,ĠBessie,1515,0
1978,Ġreason,1504,0
2088,Ġbring,1504,0
2469,Ġhappened,1499,0
2471,Yeah,1498,0
2430,ĠSir,1492,0
2478,Ġmonths,1490,0
2479,Well,1489,0
1956,Ġspeak,1476,0
2499,Ġfinancial,1473,0
2537,Ġhaven,1450,0
2586,Ġsaving,1412,0
1780,Ġvisit,1387,0
2622,Ġ2020,1387,0
2673,Ġbenefits,1340,0
2684,Ġvalue,1330,0
2702,But,1310,0
2707,Ġorganizations,1308,0
2708,Ġanalysis,1308,0
2718,Ġ2021,1300,0
2727,Ġcried,1291,0
2731,Ġanswered,1289,0
2733,ĠSeptember,1286,0
2735,ĠHowever,1284,0
2760,Ġresults,1267,0
2808,Ġrequired,1231,0
2811,Ġlives,1227,0
2812,Ġreleased,1225,0
2816,Ġreturned,1223,0
2849,Yes,1203,0
1429,Ġeffect,1202,0
2674,ĠAugust,1200,0
2861,What,1200,0
2893,ĠFederal,1183,0
2896,ĠMaggie,1180,0
2858,",'",1173,0
1559,Ġresult,1170,0
2976,Ġmovies,1138,0
2981,Ġreplied,1135,0
2986,Ġstudies,1133,0
2992,ĠWhy,1129,0
2993,ĠDecember,1129,0
3009,Ġcontinued,1122,0
3039,No,1103,0
3045,Ġexpected,1102,0
3050,Ġprovided,1100,0
1609,Ġmonth,1095,0
2983,ĠEven,1092,0
3096,Ġcareer,1074,0
3097,ĠEdna,1074,0
3101,Ġpublished,1073,0
3106,Ġissue,1070,0
3113,Ġstandards,1065,0
