token_id,token_str,text_only_count,image_count
1,[CLS],658792,563118
2,[SEP],658792,563118
18,.,646317,52220
266,Ġthe,489992,76223
16,",",418360,8140
263,Ġa,256763,131844
293,Ġof,248062,55041
296,Ġand,244253,26023
289,Ġto,236151,17434
291,Ġin,187546,43459
307,Ġis,146653,10606
308,ĠThe,110516,19342
327,Ġwas,105694,367
331,Ġthat,102609,6145
306,ĠI,82991,155
338,Ġit,82497,6283
342,Ġfor,75409,832
322,Ġon,75138,28587
352,'s,74366,2831
353,Ġ=,74361,0
341,Ġyou,70404,1527
349,Ġare,70313,642
17,-,65485,7501
356,Ġwith,64656,40452
309,ĠA,64180,74846
372,"Ġ""",55726,403
366,Ġnot,52489,3072
362,Ġas,50576,380
367,Ġat,49847,6233
321,Ġhe,49075,314
312,Ġbe,48637,448
392,Ġhave,47309,163
387,Ġhis,45829,10080
402,'t,43773,383
414,Ġthey,39658,65
413,Ġby,39493,4305
416,Ġhad,38982,65
419,Ġfrom,38478,2564
379,Ġi,33829,209
351,Ġan,32049,7024
458,Ġwere,31919,24
452,Ġher,30635,5731
464,Ġbut,30066,483
399,Ġman,29649,37608
465,ĠIt,28019,125
490,Ġone,27111,6793
468,Ġall,26518,2430
477,ĠHe,26435,46
438,Ġor,25930,857
497,Ġhas,25622,1398
30,:,25510,732
496,Ġ(,24299,118
507,Ġpeople,24014,24474
345,Ġwe,23683,290
511,Ġthis,23500,446
487,Ġcan,23452,1346
513,Ġtheir,23279,5658
502,Ġshe,23148,240
474,Ġknow,22690,13
449,Ġso,22511,92
517,Ġabout,22390,497
499,Ġno,22201,1937
381,Ġdo,21991,177
523,ĠThere,21610,257
519,Ġthere,21475,165
514,Ġwould,21378,24
493,Ġup,20991,2635
31,;,20841,71
535,Ġsaid,20781,10
516,Ġthem,20484,145
508,Ġhim,20470,318
531,Ġwill,20381,25
467,Ġout,20060,1786
559,Ġbeen,18805,76
540,Ġlike,18659,433
202,ĉ,18000,0
573,Ġuh,17984,4
538,Ġmy,17738,88
35,?,17120,25
584,Ġmore,16832,514
577,Ġwhen,16773,10
589,Ġif,16635,48
596,Ġwhich,16385,923
595,Ġwhat,16239,138
541,Ġwho,16210,1205
469,Ġme,15946,112
597,Ġdon,15663,54
605,Ġtime,15648,76
601,".""",15590,5
637,ĠThey,14474,4
572,Ġsome,14335,3475
581,Ġother,14170,7811
225,Ġ,14074,1139
13,),13985,85
627,Ġjust,13972,405
647,Ġvery,13875,635
649,Ġinto,13696,428
652,Ġwoman,13428,20642
644,Ġthink,13239,55
520,Ġany,13222,109
659,Ġtwo,13207,8416
656,",""",13155,0
632,Ġcould,13089,11
552,ĠIn,13056,36
646,Ġthan,12800,227
556,Ġdid,12506,10
684,Ġlittle,12359,3112
609,Ġover,12287,1478
688,Ġonly,12246,1097
599,Ġget,12107,75
695,Ġwell,11808,123
683,Ġdown,11769,2373
696,Ġnever,11757,2
699,ĠShe,11275,26
717,Ġits,11181,2437
355,ĠB,11028,894
687,Ġyour,10917,62
472,Ġgo,10823,238
704,Ġgood,10796,105
11,',10538,244
703,Ġsee,10211,1348
45,I,10081,383
740,Ġnow,10000,13
727,ĠYou,9985,13
751,Ġbecause,9945,18
755,Ġmade,9836,99
763,Ġmuch,9581,67
761,Ġthen,9578,27
769,Ġfirst,9370,294
734,Ġafter,9238,96
6,"""",9191,62
732,Ġshould,9110,14
707,ĠWe,9064,9
787,Ġalso,8962,82
539,--,8961,8
5,!,8947,118
780,Ġmen,8923,9235
749,Ġway,8912,257
629,Ġwork,8886,310
800,ĠTwo,8716,11108
728,Ġback,8692,5569
801,Ġhere,8644,56
804,ĠThis,8597,398
744,Ġhow,8576,16
809,'re,8569,10
784,Ġwhere,8567,348
813,Ġwhile,8497,473
815,Ġmany,8395,1998
822,Ġgoing,8308,195
818,Ġmake,8271,35
789,Ġmost,8101,1102
836,Ġyeah,8096,4
797,Ġthrough,8029,202
838,Ġbefore,8005,75
87,s,7931,2045
790,Ġright,7927,6230
720,Ġboy,7831,7345
693,Ġtoo,7625,59
859,Ġyears,7563,12
857,Ġ',7485,1306
861,"?""",7461,0
817,Ġyoung,7440,7835
764,Ġold,7343,1294
848,Ġour,7271,96
876,'m,7228,18
